topic_key,topic,group,mott6_chapters,mott6_chapter_titles,mott6_printed_pages,mott6_pdf_page_range,mott6_pages,mott6_sections,mott6_covered,shigley10_chapters,shigley10_chapter_titles,shigley10_printed_pages,shigley10_pdf_page_range,shigley10_pages,shigley10_sections,shigley10_covered,coverage,depth_note
design-process,"Design process, requirements and evaluation criteria",Principles,1,1 The Nature of Mechanical Design,2,18-40,23,10,yes,1,1 Introduction to Mechanical Engineering Design,3,25-62,38,18,yes,both,shigley10 substantially deeper (23 vs 38 pages)
uncertainty-safety,"Design factor, safety, reliability and uncertainty",Principles,5,5 Design for Different Types of Loading,166,182-232,51,14,yes,1,1 Introduction to Mechanical Engineering Design,3,25-62,38,18,yes,both,comparable depth (51 vs 38 pages)
standards-economics,"Standards, codes, economics and professional practice",Principles,1,1 The Nature of Mechanical Design,2,18-40,23,10,yes,1,1 Introduction to Mechanical Engineering Design,3,25-62,38,18,yes,both,shigley10 substantially deeper (23 vs 38 pages)
materials,Engineering materials and properties,Principles,2,2 Materials in Mechanical Design,25,41-102,62,18,yes,2,2 Materials,41,63-106,44,21,yes,both,comparable depth (62 vs 44 pages)
stress-analysis,Load and stress analysis,Principles,3,3 Stress and Deformation Analysis,87,103-157,55,23,yes,3,3 Load and Stress Analysis,85,107-182,76,20,yes,both,comparable depth (55 vs 76 pages)
combined-stress,Combined stress and stress transformation,Principles,4,4 Combined Stresses and Stress Transformation,142,158-181,24,7,yes,3,3 Load and Stress Analysis,85,107-182,76,20,yes,both,shigley10 substantially deeper (24 vs 76 pages)
deflection,Deflection and stiffness,Principles,3;12,3 Stress and Deformation Analysis | 12 Shaft Design,87;509,103-157;525-561,92,34,yes,4,4 Deflection and Stiffness,161,183-247,65,17,yes,both,comparable depth (92 vs 65 pages)
static-failure,Failure from static loading,Failure,5,5 Design for Different Types of Loading,166,182-232,51,14,yes,5,5 Failures Resulting from Static Loading,227,249-294,46,13,yes,both,comparable depth (51 vs 46 pages)
fatigue,Fatigue and variable loading,Failure,5,5 Design for Different Types of Loading,166,182-232,51,14,yes,6,6 Fatigue Failure Resulting from Variable Loading,273,295-371,77,17,yes,both,comparable depth (51 vs 77 pages)
columns,Columns and buckling,Failure,6,6 Columns,217,233-256,24,12,yes,4,4 Deflection and Stiffness,161,183-247,65,17,yes,both,shigley10 substantially deeper (24 vs 65 pages)
