alignment_id,common_concept,core_concept,mott6_term,mott6_symbol,shigley10_term,shigley10_symbol,alignment_type,review_status,evidence_span_ids,analyst_note
align-t-0001,design factor,mdcore:SafetyRequirement,design factor,N,design factor,n_d,CloseMatch,NeedsReview,mott6-es-0001;shigley10-es-0001,Both denote the ratio by which strength exceeds the stress or load a part must carry. Symbols differ. Shigley additionally reserves a second symbol for the value actually achieved after design; Mott does not.
align-t-0002,achieved safety margin after the design is fixed,mdcore:SafetyRequirement,design factor (no separate term),N,factor of safety,n,DiffersInTerminology,NeedsReview,mott6-es-0001;shigley10-es-0002,"Shigley distinguishes the a-priori design factor n_d from the as-built factor of safety n, which generally differs numerically because of rounding to standard sizes. Mott uses one symbol N throughout. Readers moving between the books must not assume N and n are interchangeable."
align-t-0003,rolling-bearing load/life exponent,mech:BearingLifeCalculation,load/life exponent,k,load-life exponent,a,ExactMatch,NeedsReview,mott6-es-0071;shigley10-es-0054,"Same physical exponent, different symbol. Values agree for ball bearings (3.00 and 3); for roller bearings Mott prints the rounded decimal 3.33 and Shigley the exact fraction 10/3. The symbols are deliberately NOT merged in the graph."
align-t-0004,load applied to a rolling bearing,mdcore:LoadCapacityRequirement,load,P,load,F,DiffersInTerminology,NeedsReview,mott6-es-0070;shigley10-es-0054,"Same quantity, different symbol. Note the collision risk: Shigley uses P elsewhere for force, pressure and diametral pitch, so symbol-level merging across the two books would be actively wrong."
align-t-0005,load-life relation for rolling bearings,mech:BearingLifeCalculation,"relationship between bearing load and life, L2/L1 = (P1/P2)^k",Eq. 14-1,"load-life regression, F L^(1/a) = constant",Eq. 11-1,CloseMatch,NeedsReview,mott6-es-0070;shigley10-es-0054,"Algebraically equivalent statements of the same power law, written in different forms: Mott as a ratio between two operating points, Shigley as an invariant of the fitted line. Equivalence holds only when the exponent and the rating-life basis are matched."
align-t-0006,rating life at 90 percent survival,mdcore:LifeRequirement,rated life / L10 life,L10,"rating life (also minimum life, L10 life, B10 life)",L10,Refines,NeedsReview,mott6-es-0070;shigley10-es-0050;shigley10-es-0051,"Shigley gives the fuller definition, attributes the term to the ABMA, enumerates the synonyms, and locates it as the 10th percentile of the revolutions-to-failure distribution. Shigley refines Mott here rather than disagreeing with it."
align-t-0007,basic dynamic load rating,melem:RollingContactBearing,basic dynamic load rating,C,catalog load rating / Basic Dynamic Load Rating,C10,CloseMatch,NeedsReview,mott6-es-0072;shigley10-es-0055,"Shigley's subscript 10 marks the tie to the 10 percent failure fraction, and Shigley notes the name Basic Dynamic Load Rating applies specifically when the manufacturer's rating life is one million revolutions. Mott's C carries the same meaning but assumes that basis silently."
align-t-0008,groove receiving a key,mech:Keyseat,keyseat (shaft and hub); keyway used commonly for the hub groove,,keyseat; keyway depth,,DiffersInTerminology,NeedsReview,mott6-es-0020;shigley10-es-0032,Mott explicitly notes that the hub groove is usually called a keyway but is more properly also a keyseat. The ontology keeps one class and records both surface forms as labels rather than picking a winner.
align-t-0009,spline,melem:Spline,"a series of axial keys machined into a shaft, with corresponding grooves in the bore of the mating part",,essentially stubby gear teeth formed on the outside of the shaft and inside of the hub,,CloseMatch,NeedsReview,mott6-es-0040;shigley10-es-0010,"Same element, two framings. Mott frames the spline as a multiplied key, Shigley as a shortened gear. The framings foreshadow their differing emphases: Mott stresses load sharing, Shigley stresses manufacturing cost."
align-t-0010,yield strength,mech:YieldStrength,yield strength,s_y,yield strength,S_y,ExactMatch,NeedsReview,mott6-es-0031;shigley10-es-0004,"Same property; Mott uses lower-case s for strengths and Shigley upper-case S. A purely notational difference, but one that breaks naive symbol matching across the two books."
align-t-0011,failure modes of a key,melem:ParallelKeyConnection,shear across the shaft/hub interface; compression due to bearing action,,direct shear; bearing stress,,ExactMatch,NeedsReview,mott6-es-0030;shigley10-es-0032,The two books identify the same two failure modes for a key in the same order. One of the clearest agreements in the pilot.
align-t-0012,torque capacity of a friction-based shaft/hub connection,mech:FrictionalLoadTransfer,keyless hub-to-shaft connection using a compressed steel ring (proprietary locking assembly),,"interference fit torque capacity, T = (pi/2) f p l d^2",Eq. 7-49,RelatedNotEquivalent,NeedsReview,mott6-es-0065;shigley10-es-0041,"Both concern friction-based torque transfer at a pressurised shaft/hub interface, but Shigley supplies a closed-form capacity model for a plain interference fit while Mott describes a proprietary ring assembly and directs the reader to the manufacturer. Not interchangeable as a basis for calculation."
